順位(全市場),順位,コード,銘柄名,市場,現在値,前日比,騰落率(%),出来高,時刻
1,1,8798,(株)アドバンスクリエイト,東証PRM,174,+38,27.94,"2,096,500",2026/09/18
2,2,4875,メディシノバ,東証STD外国,485,+100,25.97,"1,436,200",2026/09/18
3,3,6977,(株)日本抵抗器製作所,東証STD,"1,575",+300,23.53,"1,600",2026/09/18
4,4,4075,ブレインズテクノロジー(株),東証GRT,"1,591",+300,23.24,"1,901,300",2026/09/18
5,5,7363,(株)ベビーカレンダー,東証GRT,"1,649",+300,22.24,"155,800",2026/09/18
6,6,2962,(株)テクニスコ,東証STD,"2,231",+400,21.85,"1,918,200",2026/09/18
7,7,4436,(株)ミンカブ・ジ・インフォノイド,東証GRT,600,+100,20.0,"63,700",2026/09/18
8,8,7689,(株)コパ・コーポレーション,東証GRT,513,+80,18.48,"384,800",2026/09/18
9,9,4440,(株)ヴィッツ,東証STD,"2,459",+349,16.54,"2,462,300",2026/09/18
10,10,4052,フィーチャ(株),東証GRT,985,+135,15.88,"7,540,000",2026/09/18
11,11,6862,ミナトホールディングス(株),東証STD,"5,180",+700,15.63,"506,000",2026/09/18
12,12,3560,(株)ほぼ日,東証STD,"5,200",+680,15.04,"35,000",2026/09/18
13,13,6834,(株)精工技研,東証STD,"5,850",+710,13.81,"1,359,100",2026/09/18
14,14,485A,(株)パワーエックス,東証GRT,"2,404",+287,13.56,"16,192,000",2026/09/18
15,15,8301,日本銀行,東証,"24,000","+2,700",12.68,400,2026/09/18
16,16,6627,(株)テラプローブ,東証STD,"11,660","+1,140",10.84,"224,200",2026/09/18
17,17,4446,Ｌｉｎｋ－Ｕグループ(株),東証STD,795,+76,10.57,"1,532,900",2026/09/18
18,18,460A,ＢＲＡＮＵ(株),東証GRT,"1,305",+122,10.31,"94,200",2026/09/18
19,19,4047,関東電化工業(株),東証PRM,"2,343",+206,9.64,"1,751,700",2026/09/18
20,20,4583,(株)カイオム・バイオサイエンス,東証GRT,103,+9,9.57,"2,524,100",2026/09/18
21,21,285A,キオクシアホールディングス(株),東証PRM,"54,570","+4,690",9.4,"34,475,500",2026/09/18
22,22,290A,(株)Ｓｙｎｓｐｅｃｔｉｖｅ,東証GRT,"1,563",+134,9.38,"2,017,700",2026/09/18
23,23,7826,(株)フルヤ金属,東証PRM,"10,870",+930,9.36,"708,700",2026/09/18
24,24,6521,(株)オキサイド,東証GRT,"3,330",+275,9.0,"192,700",2026/09/18
25,25,5572,(株)Ｒｉｄｇｅ－ｉ,東証GRT,"3,120",+250,8.71,"199,700",2026/09/18
26,26,6920,レーザーテック(株),東証PRM,"39,090","+3,130",8.7,"4,719,500",2026/09/18
27,27,2160,(株)ジーエヌアイグループ,東証GRT,"3,250",+257,8.59,"2,270,400",2026/09/18
28,28,5252,日本ナレッジ(株),東証GRT,"1,019",+80,8.52,"23,700",2026/09/18
29,29,338A,(株)ＺｅｎｍｕＴｅｃｈ,東証GRT,"3,420",+265,8.4,"1,052,600",2026/09/18
30,30,3131,シンデン・ハイテックス(株),東証STD,"7,210",+550,8.26,"52,900",2026/09/18
31,31,219A,Ｈｅａｒｔｓｅｅｄ(株),東証GRT,"2,662",+202,8.21,"814,100",2026/09/18
32,32,6227,ＡＩメカテック(株),東証STD,"6,170",+460,8.06,"1,552,300",2026/09/18
33,33,186A,(株)アストロスケールホールディングス,東証GRT,"1,153",+84,7.86,"4,816,300",2026/09/18
34,34,8104,クワザワホールディングス(株),東証STD,770,+56,7.84,"81,000",2026/09/18
35,35,6855,日本電子材料(株),東証STD,"7,190",+520,7.8,"1,136,000",2026/09/18
36,36,9366,(株)サンリツ,東証STD,"1,321",+95,7.75,"35,000",2026/09/18
